state,date,enrol_post_secondary_both,enrol_post_secondary_female,enrol_post_secondary_male,enrol_primary_both,enrol_primary_female,enrol_primary_male,enrol_secondary_both,enrol_secondary_female,enrol_secondary_male,completion_primary_both,completion_primary_female,completion_primary_male,completion_secondary_lower_both,completion_secondary_lower_female,completion_secondary_lower_male,completion_secondary_upper_both,completion_secondary_upper_female,completion_secondary_upper_male,state_mean_income,state_median_income,poverty_absolute,poverty_hardcore,poverty_relative
Pahang,2019-01-01,13440.0,7822.0,5618.0,293360.0,143272.0,150088.0,193452.0,96002.0,97450.0,96.3,97.5,95.2,96.4,97.5,95.3,92.9,96.5,89.3,5184.0,4180.545454545455,4.3,0.1,6.0
Pahang,2020-01-01,7340.0,4026.0,3314.0,295528.0,144026.0,151502.0,194016.0,96142.0,97874.0,97.0,97.9,96.2,96.0,97.3,94.8,97.5,96.9,98.2,7254.456364497771,5757.365593954657,8.8,1.0,7.3
Pahang,2021-01-01,7086.0,3994.0,3092.0,301342.0,147102.0,154240.0,198718.0,97844.0,100874.0,97.3,97.9,96.8,99.1,100.0,98.2,99.6,99.1,100.2,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Pahang,2022-01-01,7470.0,3938.0,3532.0,303248.0,148292.0,154956.0,203646.0,99964.0,103682.0,96.5,98.1,95.1,98.7,98.8,98.6,100.0,99.5,100.6,5306.636363636364,4434.363636363636,6.3,0.1,7.7
Perak,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,98.83,99.28,98.39,94.9094,97.142,92.8087,99.1,99.1742,99.0226,7254.456364497771,5757.365593954657,0.2,0.0,14.1
Perak,2017-01-01,15839.92857142857,9514.17857142857,6325.75,402234.0,196420.0,205814.0,367712.0,186388.0,181324.0,98.9,99.37,98.44,96.7561,98.1378,95.3946,94.4357,95.7164,93.1089,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perak,2018-01-01,25474.0,14786.0,10688.0,401258.0,195294.0,205964.0,325922.0,163512.0,162410.0,98.09,98.51,97.69,95.9696,97.178,94.8274,97.4355,98.4112,96.4462,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perak,2019-01-01,23896.0,13748.0,10148.0,403576.0,196380.0,207196.0,316788.0,158370.0,158418.0,98.6,99.3,98.0,96.9,97.7,96.2,97.9,99.5,96.2,5392.583333333333,4111.916666666667,7.3,0.5,11.3
Perak,2020-01-01,13084.0,7206.0,5878.0,401228.0,194888.0,206340.0,313828.0,155890.0,157938.0,99.1,99.8,98.4,97.1,98.8,95.5,92.4,93.2,91.5,7254.456364497771,5757.365593954657,11.4,1.5,11.1
Perak,2021-01-01,11482.0,6848.0,4634.0,402068.0,195326.0,206742.0,317484.0,156490.0,160994.0,98.8,99.7,98.0,99.4,100.2,98.6,98.8,99.2,98.4,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perak,2022-01-01,12752.0,6966.0,5786.0,401086.0,194802.0,206284.0,320774.0,157904.0,162870.0,99.9,100.9,99.1,99.2,99.4,99.0,100.3,99.9,100.7,5424.153846153846,4254.153846153846,7.5,0.2,13.5
Perlis,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,101.66,100.66,102.63,93.6557,95.152,92.1393,91.1528,93.1364,89.2025,7254.456364497771,5757.365593954657,0.1,0.0,12.0
Perlis,2017-01-01,15839.92857142857,9514.17857142857,6325.75,68492.0,46130.0,22362.0,42402.0,21400.0,21002.0,99.22,100.44,98.05,96.4581,96.6188,96.2909,94.5276,95.4263,93.618,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perlis,2018-01-01,3810.0,2016.0,1794.0,46496.0,22532.0,23964.0,36996.0,18716.0,18280.0,99.61,100.11,99.13,96.5534,98.2229,94.895,94.6984,96.6413,92.6738,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perlis,2019-01-01,3508.0,1890.0,1618.0,47300.0,22904.0,24396.0,35974.0,18180.0,17794.0,99.0,101.2,97.0,93.1,95.9,90.3,94.6,96.9,92.2,5476.0,4594.0,3.9,0.3,12.0
Perlis,2020-01-01,2162.0,1056.0,1106.0,47458.0,22924.0,24534.0,36030.0,18014.0,18016.0,98.8,100.0,97.7,94.4,95.8,93.1,93.3,95.0,91.5,7254.456364497771,5757.365593954657,9.9,1.4,14.3
Perlis,2021-01-01,1894.0,994.0,900.0,48350.0,23384.0,24966.0,37188.0,18294.0,18894.0,96.9,99.8,94.4,97.8,98.6,97.1,97.4,98.3,96.5,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perlis,2022-01-01,2104.0,1008.0,1096.0,48506.0,23404.0,25102.0,38230.0,18678.0,19552.0,105.5,107.2,103.9,99.7,100.3,99.1,97.9,98.2,97.6,5664.0,4713.0,4.0,0.1,12.6
Pulau Pinang,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,96.55,97.2,95.93,94.7517,96.7884,92.7462,100.1947,100.3956,99.9818,7254.456364497771,5757.365593954657,0.1,0.0,6.6
Pulau Pinang,2017-01-01,15839.92857142857,9514.17857142857,6325.75,260910.0,126894.0,134016.0,222210.0,112238.0,109972.0,96.71,98.16,95.35,97.3899,97.4851,97.2984,95.4438,96.4923,94.3466,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Pulau Pinang,2018-01-01,13728.0,7606.0,6122.0,260380.0,126486.0,133894.0,201196.0,100942.0,100254.0,96.52,97.2,95.9,95.4679,96.6006,94.3396,94.9794,96.6369,93.2466,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
